[eval] step 0: accuracy=0.3594
{'loss': '0.08737', 'grad_norm': '3.2', 'learning_rate': '3e-06', 'num_tokens': '1.585e+04', 'completions/mean_length': '171.5', 'completions/min_length': '51', 'completions/max_length': '480', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '171.5', 'completions/min_terminated_length': '51', 'completions/max_terminated_length': '480', 'rewards/exact_answer_reward/mean': '0.4688', 'rewards/exact_answer_reward/std': '0.503', 'reward': '0.4688', 'reward_std': '0.503', 'frac_reward_zero_std': '0.25', 'entropy': '0.2471', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '69.14', 'epoch': '0.01562'}
{'loss': '0.02436', 'grad_norm': '1.661', 'learning_rate': '2.934e-06', 'num_tokens': '2.256e+05', 'completions/mean_length': '251.6', 'completions/min_length': '140', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '243.2', 'completions/min_terminated_length': '140', 'completions/max_terminated_length': '392', 'rewards/exact_answer_reward/mean': '0.3594', 'rewards/exact_answer_reward/std': '0.4836', 'reward': '0.3594', 'reward_std': '0.4836', 'frac_reward_zero_std': '0.5', 'entropy': '0.2036', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '86.97', 'epoch': '0.1875'}
{'loss': '0.04698', 'grad_norm': '2.017', 'learning_rate': '2.928e-06', 'num_tokens': '2.449e+05', 'completions/mean_length': '232.3', 'completions/min_length': '159', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '227.8', 'completions/min_terminated_length': '159', 'completions/max_terminated_length': '389', 'rewards/exact_answer_reward/mean': '0.4844', 'rewards/exact_answer_reward/std': '0.5037', 'reward': '0.4844', 'reward_std': '0.5037', 'frac_reward_zero_std': '0.125', 'entropy': '0.1719', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '85.52', 'epoch': '0.2031'}
{'loss': '-0.01599', 'grad_norm': '1.694', 'learning_rate': '2.922e-06', 'num_tokens': '2.647e+05', 'completions/mean_length': '227.6', 'completions/min_length': '121', 'completions/max_length': '447', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '227.6', 'completions/min_terminated_length': '121', 'completions/max_terminated_length': '447', 'rewards/exact_answer_reward/mean': '0.5312', 'rewards/exact_answer_reward/std': '0.503', 'reward': '0.5312', 'reward_std': '0.503', 'frac_reward_zero_std': '0.375', 'entropy': '0.162', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '70.94', 'epoch': '0.2188'}
{'loss': '-0.02794', 'grad_norm': '1.522', 'learning_rate': '2.916e-06', 'num_tokens': '2.871e+05', 'completions/mean_length': '261.7', 'completions/min_length': '144', 'completions/max_length': '512', 'completions/clipped_ratio': '0.04688', 'completions/mean_terminated_length': '249.4', 'completions/min_terminated_length': '144', 'completions/max_terminated_length': '418', 'rewards/exact_answer_reward/mean': '0.4531', 'rewards/exact_answer_reward/std': '0.5017', 'reward': '0.4531', 'reward_std': '0.5017', 'frac_reward_zero_std': '0.375', 'entropy': '0.1598', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.44', 'epoch': '0.2344'}
{'loss': '0.03365', 'grad_norm': '2.271', 'learning_rate': '2.91e-06', 'num_tokens': '3.08e+05', 'completions/mean_length': '242.9', 'completions/min_length': '127', 'completions/max_length': '428', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '242.9', 'completions/min_terminated_length': '127', 'completions/max_terminated_length': '428', 'rewards/exact_answer_reward/mean': '0.5312', 'rewards/exact_answer_reward/std': '0.503', 'reward': '0.5312', 'reward_std': '0.503', 'frac_reward_zero_std': '0.125', 'entropy': '0.1596', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '65.2', 'epoch': '0.25'}
{'loss': '-0.0292', 'grad_norm': '1.55', 'learning_rate': '2.904e-06', 'num_tokens': '3.306e+05', 'completions/mean_length': '264.3', 'completions/min_length': '113', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '260.3', 'completions/min_terminated_length': '113', 'completions/max_terminated_length': '465', 'rewards/exact_answer_reward/mean': '0.3125', 'rewards/exact_answer_reward/std': '0.4672', 'reward': '0.3125', 'reward_std': '0.4672', 'frac_reward_zero_std': '0.375', 'entropy': '0.1605', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.91', 'epoch': '0.2656'}
{'loss': '-0.0369', 'grad_norm': '1.815', 'learning_rate': '2.898e-06', 'num_tokens': '3.52e+05', 'completions/mean_length': '261.5', 'completions/min_length': '168', 'completions/max_length': '512', 'completions/clipped_ratio': '0.04688', 'completions/mean_terminated_length': '249.2', 'completions/min_terminated_length': '168', 'completions/max_terminated_length': '446', 'rewards/exact_answer_reward/mean': '0.25', 'rewards/exact_answer_reward/std': '0.4364', 'reward': '0.25', 'reward_std': '0.4364', 'frac_reward_zero_std': '0.25', 'entropy': '0.1696', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '87.04', 'epoch': '0.2812'}
{'loss': '0.008172', 'grad_norm': '1.964', 'learning_rate': '2.892e-06', 'num_tokens': '3.743e+05', 'completions/mean_length': '258.5', 'completions/min_length': '129', 'completions/max_length': '467', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '258.5', 'completions/min_terminated_length': '129', 'completions/max_terminated_length': '467', 'rewards/exact_answer_reward/mean': '0.5', 'rewards/exact_answer_reward/std': '0.504', 'reward': '0.5', 'reward_std': '0.504', 'frac_reward_zero_std': '0', 'entropy': '0.1514', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '70.69', 'epoch': '0.2969'}
{'loss': '0.02954', 'grad_norm': '1.775', 'learning_rate': '2.886e-06', 'num_tokens': '3.956e+05', 'completions/mean_length': '245.7', 'completions/min_length': '125', 'completions/max_length': '512', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '245.7', 'completions/min_terminated_length': '125', 'completions/max_terminated_length': '512', 'rewards/exact_answer_reward/mean': '0.6094', 'rewards/exact_answer_reward/std': '0.4917', 'reward': '0.6094', 'reward_std': '0.4917', 'frac_reward_zero_std': '0.375', 'entropy': '0.1476', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '96.44', 'epoch': '0.3125'}
{'loss': '0.003139', 'grad_norm': '1.069', 'learning_rate': '2.88e-06', 'num_tokens': '4.19e+05', 'completions/mean_length': '280.5', 'completions/min_length': '172', 'completions/max_length': '512', 'completions/clipped_ratio': '0.0625', 'completions/mean_terminated_length': '265', 'completions/min_terminated_length': '172', 'completions/max_terminated_length': '460', 'rewards/exact_answer_reward/mean': '0.2812', 'rewards/exact_answer_reward/std': '0.4532', 'reward': '0.2812', 'reward_std': '0.4532', 'frac_reward_zero_std': '0.625', 'entropy': '0.1934', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '91.28', 'epoch': '0.3281'}
{'loss': '0.0286', 'grad_norm': '1.944', 'learning_rate': '2.874e-06', 'num_tokens': '4.372e+05', 'completions/mean_length': '210.3', 'completions/min_length': '102', 'completions/max_length': '388', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '210.3', 'completions/min_terminated_length': '102', 'completions/max_terminated_length': '388', 'rewards/exact_answer_reward/mean': '0.6406', 'rewards/exact_answer_reward/std': '0.4836', 'reward': '0.6406', 'reward_std': '0.4836', 'frac_reward_zero_std': '0.375', 'entropy': '0.127', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '58.16', 'epoch': '0.3438'}
{'loss': '0.02505', 'grad_norm': '1.873', 'learning_rate': '2.868e-06', 'num_tokens': '4.579e+05', 'completions/mean_length': '250.4', 'completions/min_length': '137', 'completions/max_length': '512', 'completions/clipped_ratio': '0.0625', 'completions/mean_terminated_length': '232.9', 'completions/min_terminated_length': '137', 'completions/max_terminated_length': '481', 'rewards/exact_answer_reward/mean': '0.375', 'rewards/exact_answer_reward/std': '0.488', 'reward': '0.375', 'reward_std': '0.488', 'frac_reward_zero_std': '0.25', 'entropy': '0.1675', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '84.93', 'epoch': '0.3594'}
{'loss': '0.04752', 'grad_norm': '1.603', 'learning_rate': '2.862e-06', 'num_tokens': '4.799e+05', 'completions/mean_length': '258.5', 'completions/min_length': '104', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '250.3', 'completions/min_terminated_length': '104', 'completions/max_terminated_length': '504', 'rewards/exact_answer_reward/mean': '0.3594', 'rewards/exact_answer_reward/std': '0.4836', 'reward': '0.3594', 'reward_std': '0.4836', 'frac_reward_zero_std': '0.375', 'entropy': '0.1732', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.04', 'epoch': '0.375'}
[eval] step 25: accuracy=0.4375
{'loss': '0.007218', 'grad_norm': '1.571', 'learning_rate': '2.856e-06', 'num_tokens': '4.978e+05', 'completions/mean_length': '203.5', 'completions/min_length': '95', 'completions/max_length': '437', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '203.5', 'completions/min_terminated_length': '95', 'completions/max_terminated_length': '437', 'rewards/exact_answer_reward/mean': '0.6875', 'rewards/exact_answer_reward/std': '0.4672', 'reward': '0.6875', 'reward_std': '0.4672', 'frac_reward_zero_std': '0.625', 'entropy': '0.1359', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '65.53', 'epoch': '0.3906'}
{'loss': '2.408e-05', 'grad_norm': '1.524', 'learning_rate': '2.85e-06', 'num_tokens': '5.182e+05', 'completions/mean_length': '230.8', 'completions/min_length': '116', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '221.8', 'completions/min_terminated_length': '116', 'completions/max_terminated_length': '428', 'rewards/exact_answer_reward/mean': '0.4062', 'rewards/exact_answer_reward/std': '0.495', 'reward': '0.4062', 'reward_std': '0.495', 'frac_reward_zero_std': '0.5', 'entropy': '0.15', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '96.2', 'epoch': '0.4062'}
{'loss': '0.08342', 'grad_norm': '1.833', 'learning_rate': '2.844e-06', 'num_tokens': '5.397e+05', 'completions/mean_length': '252', 'completions/min_length': '131', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '247.8', 'completions/min_terminated_length': '131', 'completions/max_terminated_length': '491', 'rewards/exact_answer_reward/mean': '0.375', 'rewards/exact_answer_reward/std': '0.488', 'reward': '0.375', 'reward_std': '0.488', 'frac_reward_zero_std': '0.25', 'entropy': '0.1688', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '89.62', 'epoch': '0.4219'}
{'loss': '0.04842', 'grad_norm': '2.05', 'learning_rate': '2.838e-06', 'num_tokens': '5.59e+05', 'completions/mean_length': '219.6', 'completions/min_length': '128', 'completions/max_length': '455', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '219.6', 'completions/min_terminated_length': '128', 'completions/max_terminated_length': '455', 'rewards/exact_answer_reward/mean': '0.4531', 'rewards/exact_answer_reward/std': '0.5017', 'reward': '0.4531', 'reward_std': '0.5017', 'frac_reward_zero_std': '0.25', 'entropy': '0.1586', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '68.24', 'epoch': '0.4375'}
{'loss': '-0.007529', 'grad_norm': '2.418', 'learning_rate': '2.832e-06', 'num_tokens': '5.797e+05', 'completions/mean_length': '246.1', 'completions/min_length': '125', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '237.5', 'completions/min_terminated_length': '125', 'completions/max_terminated_length': '497', 'rewards/exact_answer_reward/mean': '0.375', 'rewards/exact_answer_reward/std': '0.488', 'reward': '0.375', 'reward_std': '0.488', 'frac_reward_zero_std': '0.125', 'entropy': '0.1825', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '86.45', 'epoch': '0.4531'}
{'loss': '-0.001982', 'grad_norm': '1.65', 'learning_rate': '2.826e-06', 'num_tokens': '6.01e+05', 'completions/mean_length': '245.7', 'completions/min_length': '151', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '241.5', 'completions/min_terminated_length': '151', 'completions/max_terminated_length': '381', 'rewards/exact_answer_reward/mean': '0.2031', 'rewards/exact_answer_reward/std': '0.4055', 'reward': '0.2031', 'reward_std': '0.4055', 'frac_reward_zero_std': '0.375', 'entropy': '0.1683', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.13', 'epoch': '0.4688'}
{'loss': '-0.01591', 'grad_norm': '1.756', 'learning_rate': '2.82e-06', 'num_tokens': '6.246e+05', 'completions/mean_length': '286.5', 'completions/min_length': '154', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '279.3', 'completions/min_terminated_length': '154', 'completions/max_terminated_length': '484', 'rewards/exact_answer_reward/mean': '0.3906', 'rewards/exact_answer_reward/std': '0.4917', 'reward': '0.3906', 'reward_std': '0.4917', 'frac_reward_zero_std': '0.25', 'entropy': '0.1477', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '86.25', 'epoch': '0.4844'}
{'loss': '0.07299', 'grad_norm': '1.839', 'learning_rate': '2.814e-06', 'num_tokens': '6.457e+05', 'completions/mean_length': '250.5', 'completions/min_length': '134', 'completions/max_length': '406', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '250.5', 'completions/min_terminated_length': '134', 'completions/max_terminated_length': '406', 'rewards/exact_answer_reward/mean': '0.4375', 'rewards/exact_answer_reward/std': '0.5', 'reward': '0.4375', 'reward_std': '0.5', 'frac_reward_zero_std': '0.25', 'entropy': '0.1514', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '62.43', 'epoch': '0.5'}
{'loss': '-0.004836', 'grad_norm': '1.322', 'learning_rate': '2.808e-06', 'num_tokens': '6.685e+05', 'completions/mean_length': '267.4', 'completions/min_length': '102', 'completions/max_length': '512', 'completions/clipped_ratio': '0.1094', 'completions/mean_terminated_length': '237.4', 'completions/min_terminated_length': '102', 'completions/max_terminated_length': '506', 'rewards/exact_answer_reward/mean': '0.4219', 'rewards/exact_answer_reward/std': '0.4978', 'reward': '0.4219', 'reward_std': '0.4978', 'frac_reward_zero_std': '0.5', 'entropy': '0.1437', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '91.22', 'epoch': '0.5156'}
{'loss': '0.04881', 'grad_norm': '2.109', 'learning_rate': '2.802e-06', 'num_tokens': '6.887e+05', 'completions/mean_length': '242.8', 'completions/min_length': '77', 'completions/max_length': '512', 'completions/clipped_ratio': '0.04688', 'completions/mean_terminated_length': '229.6', 'completions/min_terminated_length': '77', 'completions/max_terminated_length': '462', 'rewards/exact_answer_reward/mean': '0.625', 'rewards/exact_answer_reward/std': '0.488', 'reward': '0.625', 'reward_std': '0.488', 'frac_reward_zero_std': '0.5', 'entropy': '0.178', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '89.18', 'epoch': '0.5312'}
{'loss': '0.07984', 'grad_norm': '1.931', 'learning_rate': '2.796e-06', 'num_tokens': '7.104e+05', 'completions/mean_length': '262.5', 'completions/min_length': '144', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '254.5', 'completions/min_terminated_length': '144', 'completions/max_terminated_length': '479', 'rewards/exact_answer_reward/mean': '0.7969', 'rewards/exact_answer_reward/std': '0.4055', 'reward': '0.7969', 'reward_std': '0.4055', 'frac_reward_zero_std': '0.25', 'entropy': '0.1239', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.32', 'epoch': '0.5469'}
{'loss': '0.06606', 'grad_norm': '2.052', 'learning_rate': '2.79e-06', 'num_tokens': '7.308e+05', 'completions/mean_length': '250.2', 'completions/min_length': '110', 'completions/max_length': '467', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '250.2', 'completions/min_terminated_length': '110', 'completions/max_terminated_length': '467', 'rewards/exact_answer_reward/mean': '0.6562', 'rewards/exact_answer_reward/std': '0.4787', 'reward': '0.6562', 'reward_std': '0.4787', 'frac_reward_zero_std': '0.25', 'entropy': '0.1396', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '66.92', 'epoch': '0.5625'}
