timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/10 10:18:24.411, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.47 W, 2265 MHz
2026/07/10 10:19:24.419, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 57, 51.09 W, 2490 MHz
2026/07/10 10:20:24.423, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7885 MiB, 8188 MiB, 59, 53.96 W, 2205 MHz
2026/07/10 10:21:24.431, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 38.25 W, 2490 MHz
2026/07/10 10:22:24.435, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7885 MiB, 8188 MiB, 60, 54.94 W, 2100 MHz
2026/07/10 10:23:24.439, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 55, 32.33 W, 2490 MHz
2026/07/10 10:24:24.442, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 43.10 W, 2490 MHz
2026/07/10 10:25:24.447, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.73 W, 2160 MHz
2026/07/10 10:26:24.453, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 59, 41.91 W, 2085 MHz
2026/07/10 10:27:24.457, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 55.08 W, 1950 MHz
2026/07/10 10:28:24.462, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 59, 54.05 W, 2490 MHz
2026/07/10 10:29:24.470, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 59, 41.65 W, 2205 MHz
2026/07/10 10:30:24.478, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 32.09 W, 2490 MHz
2026/07/10 10:31:24.485, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.85 W, 2145 MHz
2026/07/10 10:32:24.487, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 31.82 W, 2490 MHz
2026/07/10 10:33:24.490, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 34.53 W, 2490 MHz
2026/07/10 10:34:24.495, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 42.22 W, 2490 MHz
2026/07/10 10:35:24.499, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 36.08 W, 2490 MHz
2026/07/10 10:36:24.506, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7885 MiB, 8188 MiB, 61, 54.75 W, 2445 MHz
2026/07/10 10:37:24.514, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 35.18 W, 2490 MHz
2026/07/10 10:38:24.522, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.49 W, 2385 MHz
2026/07/10 10:39:24.526, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 34.57 W, 2160 MHz
2026/07/10 10:40:24.534, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 45.17 W, 2175 MHz
2026/07/10 10:41:24.541, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7885 MiB, 8188 MiB, 62, 51.82 W, 1890 MHz
2026/07/10 10:42:24.544, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 55.12 W, 2130 MHz
2026/07/10 10:43:24.549, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 39.45 W, 2490 MHz
2026/07/10 10:44:24.553, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 32.62 W, 2490 MHz
2026/07/10 10:45:24.559, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 7885 MiB, 8188 MiB, 61, 54.40 W, 2370 MHz
2026/07/10 10:46:24.567, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 61, 54.84 W, 2025 MHz
2026/07/10 10:47:24.575, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 56, 32.64 W, 2490 MHz
2026/07/10 10:48:24.582, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 35.96 W, 2490 MHz
2026/07/10 10:49:24.586, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.86 W, 2025 MHz
2026/07/10 10:50:24.591, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 59, 54.65 W, 2130 MHz
2026/07/10 10:51:24.594, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 41.18 W, 2235 MHz
2026/07/10 10:52:24.599, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.87 W, 2055 MHz
2026/07/10 10:53:24.602, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 55, 35.76 W, 2490 MHz
2026/07/10 10:54:24.610, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 40.19 W, 2490 MHz
2026/07/10 10:55:24.613, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 43.90 W, 2340 MHz
2026/07/10 10:56:24.617, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 60, 54.71 W, 2040 MHz
2026/07/10 10:57:24.621, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7885 MiB, 8188 MiB, 59, 54.77 W, 2145 MHz
2026/07/10 10:58:24.626, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 59, 54.77 W, 2265 MHz
2026/07/10 10:59:24.629, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 56, 31.69 W, 2490 MHz
2026/07/10 11:00:24.633, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 61, 54.53 W, 2160 MHz
2026/07/10 11:01:24.645, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 33.96 W, 2070 MHz
2026/07/10 11:02:24.654, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 38.34 W, 2490 MHz
2026/07/10 11:03:24.668, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.54 W, 2265 MHz
2026/07/10 11:04:24.674, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 35.62 W, 2490 MHz
2026/07/10 11:05:24.678, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 31.49 W, 2490 MHz
2026/07/10 11:06:24.684, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 58, 54.71 W, 2085 MHz
2026/07/10 11:07:24.688, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 47.15 W, 2490 MHz
2026/07/10 11:08:24.694, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 61, 54.75 W, 2430 MHz
2026/07/10 11:09:24.698, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 55.04 W, 2085 MHz
2026/07/10 11:10:24.702, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 39.41 W, 2190 MHz
2026/07/10 11:11:24.711, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 33.85 W, 1965 MHz
2026/07/10 11:12:24.722, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 40.04 W, 2490 MHz
2026/07/10 11:13:24.726, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 32.61 W, 2490 MHz
2026/07/10 11:14:24.727, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.87 W, 2355 MHz
2026/07/10 11:15:24.729, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 41.94 W, 2490 MHz
2026/07/10 11:16:24.736, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.69 W, 2010 MHz
2026/07/10 11:17:24.745, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 31.65 W, 2070 MHz
2026/07/10 11:18:24.762, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 38.54 W, 2490 MHz
2026/07/10 11:19:24.767, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 40.02 W, 2490 MHz
2026/07/10 11:20:24.771, NVIDIA GeForce RTX 4070 Laptop GPU, 87 %, 7885 MiB, 8188 MiB, 62, 54.90 W, 2475 MHz
2026/07/10 11:21:24.780, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 59, 45.46 W, 2490 MHz
2026/07/10 11:22:24.781, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.84 W, 1965 MHz
2026/07/10 11:23:24.790, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 55, 31.88 W, 2490 MHz
2026/07/10 11:24:24.797, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 46.46 W, 2490 MHz
2026/07/10 11:25:24.802, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.69 W, 2490 MHz
2026/07/10 11:26:24.805, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.51 W, 2490 MHz
2026/07/10 11:27:24.813, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 58, 54.66 W, 2475 MHz
2026/07/10 11:28:24.829, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 32.03 W, 2490 MHz
2026/07/10 11:29:24.838, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.79 W, 2250 MHz
2026/07/10 11:30:24.846, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 32.55 W, 2490 MHz
2026/07/10 11:31:24.850, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 55.03 W, 2115 MHz
2026/07/10 11:32:24.851, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 58, 54.30 W, 2460 MHz
2026/07/10 11:33:24.856, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 53.31 W, 2490 MHz
2026/07/10 11:34:24.862, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 38.10 W, 2490 MHz
2026/07/10 11:35:24.870, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 61, 54.70 W, 2295 MHz
2026/07/10 11:36:24.882, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.95 W, 2310 MHz
2026/07/10 11:37:24.884, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 54.58 W, 2430 MHz
2026/07/10 11:38:24.886, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.92 W, 2205 MHz
2026/07/10 11:39:24.894, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 32.31 W, 2490 MHz
2026/07/10 11:40:24.895, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.87 W, 1980 MHz
2026/07/10 11:41:24.900, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.83 W, 1950 MHz
2026/07/10 11:42:24.906, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 55, 33.35 W, 2490 MHz
2026/07/10 11:43:24.910, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 38.32 W, 2490 MHz
2026/07/10 11:44:24.918, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 37.92 W, 2490 MHz
2026/07/10 11:45:24.923, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 61, 54.80 W, 2130 MHz
2026/07/10 11:46:24.927, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 58, 54.55 W, 2460 MHz
2026/07/10 11:47:24.934, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 46.57 W, 2490 MHz
2026/07/10 11:48:24.941, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 45.20 W, 2490 MHz
2026/07/10 11:49:24.944, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.82 W, 2310 MHz
2026/07/10 11:50:24.945, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.63 W, 2490 MHz
2026/07/10 11:51:24.951, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.76 W, 2370 MHz
2026/07/10 11:52:24.958, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.84 W, 2445 MHz
2026/07/10 11:53:24.962, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 38.69 W, 2100 MHz
2026/07/10 11:54:24.965, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 61, 54.65 W, 2490 MHz
2026/07/10 11:55:24.970, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 41.34 W, 2340 MHz
2026/07/10 11:56:24.975, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.65 W, 2400 MHz
2026/07/10 11:57:24.979, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 46.26 W, 2490 MHz
2026/07/10 11:58:24.983, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.43 W, 2385 MHz
2026/07/10 11:59:24.989, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 39.72 W, 2490 MHz
2026/07/10 12:00:25.001, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 55.14 W, 2025 MHz
2026/07/10 12:01:25.009, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 41.31 W, 2490 MHz
2026/07/10 12:02:25.014, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 59, 53.81 W, 2490 MHz
2026/07/10 12:03:25.024, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 47.32 W, 2490 MHz
2026/07/10 12:04:25.034, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 59, 54.53 W, 2460 MHz
2026/07/10 12:05:25.037, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 33.75 W, 2490 MHz
2026/07/10 12:06:25.049, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 61, 54.74 W, 2325 MHz
2026/07/10 12:07:25.059, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 59, 55.12 W, 2280 MHz
2026/07/10 12:08:25.069, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.59 W, 2190 MHz
2026/07/10 12:09:25.075, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 44.64 W, 2490 MHz
2026/07/10 12:10:25.077, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 31.70 W, 2490 MHz
2026/07/10 12:11:25.087, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7885 MiB, 8188 MiB, 60, 54.47 W, 1995 MHz
2026/07/10 12:12:25.090, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 61, 46.54 W, 2355 MHz
2026/07/10 12:13:25.097, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 61, 54.92 W, 2340 MHz
2026/07/10 12:14:25.101, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 30.72 W, 2490 MHz
2026/07/10 12:15:25.118, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 61, 55.01 W, 2280 MHz
2026/07/10 12:16:25.124, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7885 MiB, 8188 MiB, 59, 53.79 W, 2490 MHz
2026/07/10 12:17:25.126, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 32.79 W, 2490 MHz
2026/07/10 12:18:25.131, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 61, 54.47 W, 2220 MHz
2026/07/10 12:19:25.138, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 35.03 W, 2490 MHz
2026/07/10 12:20:25.142, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 42.65 W, 2295 MHz
2026/07/10 12:21:25.147, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 59, 36.68 W, 2205 MHz
2026/07/10 12:22:25.153, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 59, 52.71 W, 2490 MHz
2026/07/10 12:23:25.158, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 58, 43.21 W, 2490 MHz
2026/07/10 12:24:25.161, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 44.93 W, 2490 MHz
2026/07/10 12:25:25.165, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 60, 54.83 W, 2220 MHz
2026/07/10 12:26:25.167, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7885 MiB, 8188 MiB, 58, 54.19 W, 2445 MHz
2026/07/10 12:27:25.173, NVIDIA GeForce RTX 4070 Laptop GPU, 74 %, 7885 MiB, 8188 MiB, 59, 54.24 W, 2445 MHz
